date,case_status,cases,deaths,county,cases_rolling,deaths_rolling
2020-11-14,Confirmed,1738,8,metro,2270.1428571428573,12.571428571428571
2020-11-15,Confirmed,1410,14,metro,2254.1428571428573,13.0
2020-11-16,Confirmed,2731,15,metro,2258.5714285714284,12.857142857142858
2020-11-17,Confirmed,2356,23,metro,2228.8571428571427,13.857142857142858
2020-11-18,Confirmed,2523,25,metro,2241.285714285714,15.571428571428571
2020-11-19,Confirmed,2476,12,metro,2232.5714285714284,14.857142857142858
2020-11-20,Confirmed,2512,24,metro,2249.4285714285716,17.285714285714285
2020-11-21,Confirmed,1556,30,metro,2223.4285714285716,20.428571428571427
2020-11-22,Confirmed,1318,14,metro,2210.285714285714,20.428571428571427
2020-11-23,Confirmed,2731,22,metro,2210.285714285714,21.428571428571427
2020-11-24,Confirmed,2243,33,metro,2194.1428571428573,22.857142857142858
2020-11-25,Confirmed,2195,12,metro,2147.285714285714,21.0
2020-11-26,Confirmed,553,7,metro,1872.5714285714287,20.285714285714285
2020-11-27,Confirmed,1680,13,metro,1753.7142857142858,18.714285714285715
2020-11-28,Confirmed,1117,7,metro,1691.0,15.428571428571429
2020-11-29,Confirmed,525,3,metro,1577.7142857142858,13.857142857142858
2020-11-30,Confirmed,789,22,metro,1300.2857142857142,13.857142857142858
2020-12-01,Confirmed,273,15,metro,1018.8571428571429,11.285714285714286
2020-12-02,Confirmed,23,2,metro,708.5714285714286,9.857142857142858
